chart_week|title|performer|peak_pos|wks_on_chart
1964-05-16|My Guy|Mary Wells|1|7
1964-05-30|Love Me Do|The Beatles|1|8
1964-06-06|Chapel Of Love|The Dixie Cups|1|6
1964-06-27|A World Without Love|Peter And Gordon|1|8
1964-07-04|I Get Around|The Beach Boys|1|7
1964-07-18|Rag Doll|The 4 Seasons Featuring the "Sound of Frankie Valli"|1|5
1964-08-01|A Hard Day's Night|The Beatles|1|3
1964-08-15|Everybody Loves Somebody|Dean Martin|1|8
1964-08-22|Where Did Our Love Go|The Supremes|1|7
1964-09-05|House Of The Rising Sun|The Animals|1|5
1964-09-26|Oh, Pretty Woman|Roy Orbison And The Candy Men|1|5
1964-10-17|Do Wah Diddy Diddy|Manfred Mann|1|7
1964-10-31|Baby Love|The Supremes|1|5
1964-11-28|Leader Of The Pack|The Shangri-Las|1|8
1964-12-05|Ringo|Lorne Greene|1|6
1964-12-12|Mr. Lonely|Bobby Vinton|1|7
1964-12-19|Come See About Me|The Supremes|1|6
1964-12-26|I Feel Fine|The Beatles|1|4
1965-01-23|Downtown|Petula Clark|1|6
1965-02-06|You've Lost That Lovin' Feelin'|The Righteous Brothers|1|9
1965-02-20|This Diamond Ring|Gary Lewis And The Playboys|1|6
1965-03-06|My Girl|The Temptations|1|8
1965-03-13|Eight Days A Week|The Beatles|1|4
1965-03-27|Stop! In The Name Of Love|The Supremes|1|6
1965-04-10|I'm Telling You Now|Freddie And The Dreamers|1|5
1965-04-24|Game Of Love|Wayne Fontana & The Mindbenders|1|6
1965-05-01|Mrs. Brown You've Got A Lovely Daughter|Herman's Hermits|1|3
1965-05-22|Ticket To Ride|The Beatles|1|5
1965-05-29|Help Me, Rhonda|The Beach Boys|1|7
1965-06-12|Back In My Arms Again|The Supremes|1|7
1965-06-19|I Can't Help Myself (Sugar Pie Honey Bunch)|Four Tops|1|6
1965-06-26|Mr. Tambourine Man|The Byrds|1|7
1965-07-10|(I Can't Get No) Satisfaction|The Rolling Stones|1|5
1965-08-07|I'm Henry VIII, I Am|Herman's Hermits|1|6
1965-08-14|I Got You Babe|Sonny & Cher|1|6
1965-09-04|Help!|The Beatles|1|5
1965-09-25|Eve Of Destruction|Barry McGuire|1|6
1965-10-02|Hang On Sloopy|The McCoys|1|8
1965-10-09|Yesterday|The Beatles|1|3
1965-11-06|Get Off Of My Cloud|The Rolling Stones|1|5
1965-11-20|I Hear A Symphony|The Supremes|1|4
1965-12-04|Turn! Turn! Turn! (To Everything There Is A Season)|The Byrds|1|7
1965-12-25|Over And Over|The Dave Clark Five|1|7
1966-01-01|The Sound Of Silence|Simon & Garfunkel|1|7
1966-01-08|We Can Work It Out|The Beatles|1|4
1966-02-05|My Love|Petula Clark|1|7
1966-02-19|Lightnin' Strikes|Lou Christie|1|9
1966-02-26|These Boots Are Made For Walkin'|Nancy Sinatra|1|6
1966-03-05|The Ballad Of The Green Berets|SSgt Barry Sadler|1|5
1966-04-09|(You're My) Soul And Inspiration|The Righteous Brothers|1|6
1966-04-30|Good Lovin'|The Young Rascals|1|8
1966-05-07|Monday, Monday|The Mamas & The Papas|1|5
1966-05-28|When A Man Loves A Woman|Percy Sledge|1|8
1966-06-11|Paint It, Black|The Rolling Stones|1|5
1966-06-25|Paperback Writer|The Beatles|1|3
1966-07-02|Strangers In The Night|Frank Sinatra|1|9
1966-07-16|Hanky Panky|Tommy James And The Shondells|1|7
1966-07-30|Wild Thing|The Troggs|1|6
1966-08-13|Summer In The City|The Lovin' Spoonful|1|5
1966-09-03|Sunshine Superman|Donovan|1|6
1966-09-10|You Can't Hurry Love|The Supremes|1|5
1966-09-24|Cherish|The Association|1|5
1966-10-15|Reach Out I'll Be There|Four Tops|1|7
1966-10-29|96 Tears|? (Question Mark) & The Mysterians|1|9
1966-11-05|Last Train To Clarksville|The Monkees|1|9
1966-11-12|Poor Side Of Town|Johnny Rivers|1|9
1966-11-19|You Keep Me Hangin' On|The Supremes|1|4
1966-12-03|Winchester Cathedral|The New Vaudeville Band|1|6
1966-12-10|Good Vibrations|The Beach Boys|1|8
1966-12-31|I'm A Believer|The Monkees|1|4
1967-02-18|Kind Of A Drag|The Buckinghams|1|8
1967-03-04|Ruby Tuesday|The Rolling Stones|1|7
1967-03-11|Love Is Here And Now You're Gone|The Supremes|1|7
1967-03-18|Penny Lane|The Beatles|1|4
1967-03-25|Happy Together|The Turtles|1|7
1967-04-15|Somethin' Stupid|Nancy Sinatra & Frank Sinatra|1|5
1967-05-13|The Happening|The Supremes|1|6
1967-05-20|Groovin'|The Young Rascals|1|5
1967-06-03|Respect|Aretha Franklin|1|6
1967-07-01|Windy|The Association|1|6
1967-07-29|Light My Fire|The Doors|1|9
1967-08-19|All You Need Is Love|The Beatles|1|5
1967-08-26|Ode To Billie Joe|Bobbie Gentry|1|4
1967-09-23|The Letter|The Box Tops|1|7
1967-10-21|To Sir With Love|Lulu|1|7
1967-11-25|Incense And Peppermints|Strawberry Alarm Clock|1|9
1967-12-02|Daydream Believer|The Monkees|1|3
1967-12-30|Hello Goodbye|The Beatles|1|5
1968-01-20|Judy In Disguise (With Glasses)|John Fred And The Playboys|1|9
1968-02-03|Green Tambourine|The Lemon Pipers|1|8
1968-02-10|Love Is Blue (L'amour Est Bleu)|Paul Mauriat And His Orchestra|1|6
1968-03-16|(Sittin' On) The Dock Of The Bay|Otis Redding|1|8
1968-04-13|Honey|Bobby Goldsboro|1|4
1968-05-18|Tighten Up|Archie Bell & The Drells|1|8
1968-06-01|Mrs. Robinson|Simon & Garfunkel|1|6
1968-06-22|This Guy's In Love With You|Herb Alpert|1|6
1968-07-20|Grazing In The Grass|Hugh Masekela|1|7
1968-08-03|Hello, I Love You|The Doors|1|5
1968-08-17|People Got To Be Free|The Rascals|1|5
1968-09-21|Harper Valley P.T.A.|Jeannie C. Riley|1|5
1968-09-28|Hey Jude|The Beatles|1|3
1968-11-30|Love Child|Diana Ross & The Supremes|1|7
1968-12-14|I Heard It Through The Grapevine|Marvin Gaye|1|4
1969-02-01|Crimson And Clover|Tommy James And The Shondells|1|8
1969-02-15|Everyday People|Sly & The Family Stone|1|12
1969-03-15|Dizzy|Tommy Roe|1|7
1969-04-12|Aquarius/Let The Sunshine In (The Flesh Failures)|The 5th Dimension|1|6
1969-05-24|Get Back|The Beatles With Billy Preston|1|3
1969-06-28|Love Theme From Romeo & Juliet|Henry Mancini And His Orchestra|1|8
1969-07-12|In The Year 2525|Zager & Evans|1|4
1969-08-23|Honky Tonk Women|The Rolling Stones|1|6
1969-09-20|Sugar, Sugar|The Archies|1|9
1969-10-18|I Can't Get Next To You|The Temptations|1|10
1969-11-01|Suspicious Minds|Elvis Presley|1|8
1969-11-08|Wedding Bell Blues|The 5th Dimension|1|7
1969-11-29|Come Together/Something|The Beatles|1|7
1969-12-06|Na Na Hey Hey Kiss Him Goodbye|Steam|1|8
1969-12-20|Leaving On A Jet Plane|Peter, Paul & Mary|1|9
1969-12-27|Someday We'll Be Together|Diana Ross & The Supremes|1|8
1970-01-03|Raindrops Keep Fallin' On My Head|B.J. Thomas|1|10
1970-01-31|I Want You Back|Jackson 5|1|12
1970-02-07|Venus|The Shocking Blue|1|9
1970-02-14|Thank You Falettinme Be Mice Elf Agin/Everybody Is A Star|Sly & The Family Stone|1|7
1970-02-28|Bridge Over Troubled Water|Simon & Garfunkel|1|4
1970-04-11|Let It Be|The Beatles|1|4
1970-04-25|ABC|Jackson 5|1|7
1970-05-09|American Woman/No Sugar Tonight|The Guess Who|1|8
1970-05-30|Everything Is Beautiful|Ray Stevens|1|9
1970-06-13|The Long And Winding Road/For You Blue|The Beatles|1|4
1970-06-27|The Love You Save/I Found That Girl|Jackson 5|1|5
1970-07-11|Mama Told Me (Not To Come)|Three Dog Night|1|8
1970-07-25|(They Long To Be) Close To You|Carpenters|1|6
1970-08-22|Make It With You|Bread|1|11
1970-08-29|War|Edwin Starr|1|8
1970-09-19|Ain't No Mountain High Enough|Diana Ross|1|7
1970-10-10|Cracklin' Rosie|Neil Diamond|1|8
1970-10-17|I'll Be There|Jackson 5|1|5
1970-11-21|I Think I Love You|The Partridge Family Starring Shirley Jones Featuring David Cassidy|1|7
1970-12-12|The Tears Of A Clown|Smokey Robinson & The Miracles|1|9
1970-12-26|My Sweet Lord/Isn't It A Pity|George Harrison|1|5
1971-01-23|Knock Three Times|Dawn|1|10
1971-02-13|One Bad Apple|The Osmonds|1|7
1971-03-20|Me And Bobby McGee|Janis Joplin|1|8
1971-04-03|Just My Imagination (Running Away With Me)|The Temptations|1|9
